,count,mean,std,min,max
PointID,554400.0,631.1704365079356,365.3034840172104,0.0,1369.0
x,554400.0,0.5065695918298087,2.1232315510128346,-9.945218958262071,10.0
y,554400.0,-0.0124657729433318,2.107311490559561,-10.0,10.0
Density,554400.0,1.2128608285178237,0.05443762066648298,0.4272242849102396,1.435930616984092
Momentum_x,554400.0,136.09387721458168,30.937970777750994,-178.9517239147008,277.7434385071771
Momentum_y,554400.0,6.47581178357139,19.61462659510209,-118.2560218094044,263.3976203675941
Energy,554400.0,260092.49039830346,10979.275871349866,104963.967817242,312642.9121224632
Pressure,554400.0,100407.29047080032,5555.903614001737,24928.39321656585,123880.7778934029
Temperature,554400.0,288.24369208669674,4.338906779121026,200.9387487811835,308.8476379093835
Mach,554400.0,0.3387802706714787,0.0874787718452312,0.0001012610903313726,1.590604576922004
Pressure_Coefficient,554400.0,-0.09240005862700945,0.49396689147174105,-5.796533718186198,1.614626267733574
